,certainty,name,geometry,geometry_source,locality,date,period,domestic
130,1.0,Olomouc,POINT (17.252 49.596),POINT (17.252 49.596),Olomouc,1254-09-15,2,True
131,3.0,Moravská Loděnice,POINT (17.277 49.661),POINT (17.252 49.596),Olomouc,1254-09-15,2,True
132,2.0,Böhmen,POINT (nan nan),POINT (14.985 50.134),Sadská,1254-10-31,2,True
133,1.0,Garsten,POINT (14.409 48.022),POINT (15.62 48.41),Krems an der Donau,1254-11-29,2,True
134,2.0,Böhmen,POINT (nan nan),POINT (19.409 54.152),Elbląg,1255-01-19,2,False
135,1.0,Olomouc,POINT (17.252 49.596),POINT (16.61 49.19),Brno,1255-02-25,2,True
136,1.0,Olomouc,POINT (17.252 49.596),POINT (16.61 49.19),Brno,1255-02-25,2,True
137,2.0,Böhmen,POINT (nan nan),POINT (15.62 48.41),Krems an der Donau,1255-03-19,2,True
138,2.0,Mähren,POINT (nan nan),POINT (15.62 48.41),Krems an der Donau,1255-03-19,2,True
139,2.0,Oberösterreich,POINT (nan nan),POINT (15.62 48.41),Krems an der Donau,1255-03-19,2,True
140,2.0,Niederösterreich,POINT (nan nan),POINT (15.62 48.41),Krems an der Donau,1255-03-19,2,True
141,1.0,Passau,POINT (13.469 48.575),POINT (15.62 48.41),Krems an der Donau,1255-03-19,2,True
142,1.0,Mailberg,POINT (16.183 48.673),POINT (14.655 48.036),Seitenstetten,1255-03-23,2,True
143,1.0,Spital am Pyhrn,POINT (14.34 47.665),POINT (14.419 48.039),Steyr,1255-03-26,2,False
144,1.0,Garsten,POINT (14.409 48.022),POINT (14.286 48.306),Linz,1255-03-30,2,True
145,1.0,Molln,POINT (14.257 47.886),POINT (14.286 48.306),Linz,1255-03-30,2,True
146,1.0,Ternberg,POINT (14.357 47.946),POINT (14.286 48.306),Linz,1255-03-30,2,True
147,1.0,Berchtesgaden,POINT (13.002 47.631),POINT (14.286 48.306),Linz,1255-03-30,2,True
148,1.0,Břevnov,POINT (14.383 50.074),POINT (14.41 50.09),Praha,1255-05-18,2,True
149,1.0,Vyšehrad,POINT (14.418 50.065),POINT (13.872 50.038),Křivoklát,1255-06-02,2,True
150,1.0,Salzburg,POINT (13.048 47.797),POINT (15.893 49.094),Jaroměřice nad Rokytkou,1255-06-20,2,False
151,1.0,Raitenhaslach,POINT (12.787 48.129),POINT (16.388 48.221),Wien,1255-07-02,2,True
152,1.0,Kraków,POINT (19.937 50.061),POINT (14.41 50.09),Praha,1255-11-02,2,True
153,1.0,Kraków,POINT (19.937 50.061),POINT (14.41 50.09),Praha,1255-11-02,2,True
154,1.0,Kremsmünster,POINT (14.128 48.053),POINT (15.62 48.41),Krems an der Donau,1255-12-15,2,True
155,1.0,Martinsberg,POINT (15.149 48.376),POINT (15.62 48.41),Krems an der Donau,1255-12-15,2,True
156,1.0,Kremsmünster,POINT (14.128 48.053),POINT (15.62 48.41),Krems an der Donau,1255-12-15,2,True
157,1.0,Olomouc,POINT (17.252 49.596),POINT (16.61 49.19),Brno,1256-01-09,2,True
158,1.0,Hrdibořice,POINT (17.22 49.478),POINT (16.61 49.19),Brno,1256-01-09,2,True
159,1.0,Kralice,POINT (16.201 49.199),POINT (16.61 49.19),Brno,1256-01-09,2,True
160,1.0,Žďár nad Sázavou,POINT (15.939 49.564),POINT (16.61 49.19),Brno,1256-01-09,2,True
161,1.0,Velehrad,POINT (17.395 49.105),POINT (16.61 49.19),Brno,1256-01-09,2,True
162,3.0,Zlatníky,POINT (17.83 49.942),POINT (16.61 49.19),Brno,1256-01-09,2,True
163,1.0,Velehrad,POINT (17.395 49.105),POINT (17.252 49.596),Olomouc,1256-02-15,2,True
164,1.0,Přerov,POINT (17.451 49.455),POINT (17.252 49.596),Olomouc,1256-02-15,2,True
165,2.0,Mähren,POINT (nan nan),POINT (14.41 50.09),Praha,1256-03-20,2,True
166,1.0,St. Florian,POINT (14.379 48.206),POINT (14.985 50.134),Sadská,1256-04-05,2,True
167,1.0,Břevnov,POINT (14.383 50.074),POINT (14.41 50.09),Praha,1256-05-07,2,True
168,1.0,Podmokly,POINT (13.705 49.943),POINT (14.41 50.09),Praha,1256-05-07,2,True
169,1.0,Ruzyně,POINT (14.312 50.09),POINT (14.41 50.09),Praha,1256-05-07,2,True
